# kind	commit	bench	measured	ms
rat-O1	eae7cc8a98537c81ac48468f3d38400827b58fc6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:33:43+00:00	11693
rat-O0	9a9927ac51b3bb2891be3f1fbe20c48ee67927ae	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:34:38+00:00	7592
rat-O1	9a9927ac51b3bb2891be3f1fbe20c48ee67927ae	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:35:49+00:00	11737
rat-O0	e8a9382dbbf6e8b2e7b7c881e7d80e9217118ae4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:36:44+00:00	7642
rat-O1	e8a9382dbbf6e8b2e7b7c881e7d80e9217118ae4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:37:55+00:00	11922
rat-O0	b0a018b96a7919541490c2efc3d0911f1ec95ffe	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:38:51+00:00	7626
rat-O1	b0a018b96a7919541490c2efc3d0911f1ec95ffe	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:40:01+00:00	11719
rat-O0	acc3917660348e1b83787bb7861f33b7c6a9ab62	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:40:56+00:00	7632
rat-O1	acc3917660348e1b83787bb7861f33b7c6a9ab62	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:42:06+00:00	11626
rat-O0	55ae8151b30382e775c3cb73e511525307d83ec3	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:43:01+00:00	7603
rat-O1	55ae8151b30382e775c3cb73e511525307d83ec3	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:44:12+00:00	11701
rat-O0	421fe5a46958180da6853501ebfadd9662a31de0	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:45:07+00:00	7604
rat-O1	421fe5a46958180da6853501ebfadd9662a31de0	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:46:17+00:00	11757
rat-O0	51a7ab9f14c0f78b8ce380d05798e6116997fcad	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:47:13+00:00	7610
rat-O1	51a7ab9f14c0f78b8ce380d05798e6116997fcad	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:48:23+00:00	11701
rat-O0	a719cb4d616dfa44a91d1c237c9084bba119e55f	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:49:18+00:00	7633
rat-O1	a719cb4d616dfa44a91d1c237c9084bba119e55f	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:50:29+00:00	11761
rat-O0	8c9996f2a54214d9079641054883a4f51aa8c451	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:51:25+00:00	7642
rat-O1	8c9996f2a54214d9079641054883a4f51aa8c451	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:52:35+00:00	11742
rat-O0	ce9eae499265a9e5ab9f98e371b63889b8813d2c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:53:31+00:00	7609
rat-O1	ce9eae499265a9e5ab9f98e371b63889b8813d2c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:54:41+00:00	11733
rat-O0	71dd1488702461aa6eab698dfc06c899725fc120	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:55:37+00:00	7654
rat-O1	71dd1488702461aa6eab698dfc06c899725fc120	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:56:47+00:00	11720
rat-O0	56b70c092650762abafd36a0635e2c6571067f35	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:57:43+00:00	7650
rat-O1	56b70c092650762abafd36a0635e2c6571067f35	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:58:53+00:00	11781
rat-O0	7792109f3d8c3e3b27e175bc4399a42bf89bd62f	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:59:49+00:00	7603
